DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
2017-10-18,Malcolm Delaney,ATL,DAL,R,11.316666666666666,.625,.625,.500,.000,0.0,9.4,4.7,0.0,0.0,0.0,20.0,18.7,99,121
2017-10-18,Luke Babbitt,ATL,DAL,R,8.916666666666666,.833,.833,.667,.000,11.7,0.0,5.9,0.0,0.0,0.0,0.0,14.2,176,124
2017-10-18,Josh Magette,ATL,DAL,R,4.233333333333333,1.500,1.500,1.000,.000,0.0,25.2,12.5,30.9,0.0,0.0,0.0,10.0,279,117
2017-10-18,Team Totals,ATL,DAL,R,240.0,.582,.559,.191,.160,30.4,80.0,54.9,41.7,11.2,14.6,11.4,100.0,118.7,112.6
2017-10-18,Harrison Barnes,DAL,ATL,H,38.05,.413,.231,.462,.692,2.8,16.5,9.7,11.1,1.3,0.0,10.5,21.7,91,118
2017-10-18,Wesley Matthews,DAL,ATL,H,37.11666666666667,.625,.625,.750,.000,5.7,16.9,11.4,20.5,1.3,0.0,29.4,19.9,97,118
2017-10-18,Yogi Ferrell,DAL,ATL,H,31.6,.643,.643,.571,.000,0.0,0.0,0.0,9.1,1.5,0.0,0.0,9.6,132,123
2017-10-18,Dennis Smith,DAL,ATL,H,29.9,.581,.542,.333,.333,7.1,3.5,5.3,56.6,0.0,0.0,17.9,24.4,123,125
2017-10-18,Dirk Nowitzki,DAL,ATL,H,24.483333333333334,.346,.357,.500,.071,4.4,21.3,12.9,0.0,0.0,0.0,0.0,25.7,74,119
2017-10-18,Nerlens Noel,DAL,ATL,H,19.566666666666666,1.031,1.000,.000,.667,10.9,48.0,29.7,0.0,2.5,9.7,0.0,17.3,219,98
2017-10-18,J.J. Barea,DAL,ATL,H,18.1,.825,.786,.714,.286,0.0,17.3,8.7,48.4,0.0,0.0,0.0,19.0,177,121
2017-10-18,Devin Harris,DAL,ATL,H,16.4,.530,.500,.556,.111,0.0,0.0,0.0,22.3,0.0,0.0,17.5,30.4,91,126
2017-10-18,Dwight Powell,DAL,ATL,H,13.9,1.000,1.000,1.000,.000,0.0,0.0,0.0,0.0,3.5,4.5,25.0,12.5,113,115
2017-10-18,Dorian Finney-Smith,DAL,ATL,H,10.883333333333333,.333,.333,.667,.000,9.8,19.2,14.5,0.0,0.0,0.0,40.0,20.0,51,120
2017-10-18,Team Totals,DAL,ATL,H,240.0,.583,.541,.523,.244,20.0,69.6,45.1,71.1,5.1,5.3,13.6,100.0,112.6,118.7
2017-10-18,Kemba Walker,CHO,DET,R,35.43333333333333,.641,.500,.231,1.000,3.3,12.8,8.6,26.0,0.0,0.0,17.6,30.0,113,107
2017-10-18,Dwight Howard,CHO,DET,R,31.45,.506,.556,.000,.222,3.7,40.3,24.4,7.1,1.5,4.4,23.3,19.1,77,92
2017-10-18,Jeremy Lamb,CHO,DET,R,28.35,.555,.400,.300,.800,0.0,12.8,7.2,15.2,1.7,0.0,12.9,25.6,102,103
2017-10-18,Marvin Williams,CHO,DET,R,26.65,.595,.600,.800,.400,0.0,6.8,3.8,0.0,0.0,0.0,0.0,10.3,111,109
2017-10-18,Dwayne Bacon,CHO,DET,R,20.45,.667,.667,.667,.000,0.0,8.9,5.0,21.4,0.0,0.0,25.0,18.3,97,108
2017-10-18,Cody Zeller,CHO,DET,R,23.4,.680,.600,.000,.400,5.0,31.0,19.6,0.0,0.0,2.9,25.4,15.7,101,100
2017-10-18,Frank Kaminsky,CHO,DET,R,23.2,.202,.111,.556,.222,0.0,15.6,8.8,15.4,0.0,0.0,0.0,19.9,52,107
2017-10-18,Malik Monk,CHO,DET,R,21.466666666666665,.167,.167,.667,.000,0.0,0.0,0.0,8.4,0.0,0.0,25.0,26.1,29,111
2017-10-18,Treveon Graham,CHO,DET,R,17.033333333333335,.625,.625,.500,.000,0.0,10.6,6.0,36.2,0.0,0.0,0.0,11.0,137,108
2017-10-18,Julyan Stone,CHO,DET,R,12.566666666666666,1.000,1.000,1.000,.000,0.0,21.6,12.2,17.9,7.8,0.0,25.0,14.9,132,88
2017-10-18,Team Totals,CHO,DET,R,240.0,.525,.459,.411,.397,7.3,83.0,50.0,55.2,4.1,4.3,16.5,100.0,91.4,103.6
2017-10-18,Stanley Johnson,DET,CHO,H,40.333333333333336,.072,.000,.462,.154,2.2,8.7,5.1,2.9,4.8,0.0,0.0,15.1,26,89
2017-10-18,Tobias Harris,DET,CHO,H,34.05,.732,.722,.389,.056,5.3,27.5,15.0,16.6,0.0,0.0,5.1,25.1,138,98
2017-10-18,Reggie Jackson,DET,CHO,H,27.166666666666668,.574,.500,.100,.300,3.3,17.2,9.4,43.9,1.8,0.0,0.0,18.3,138,95
2017-10-18,Avery Bradley,DET,CHO,H,23.316666666666666,.718,.700,.000,.100,0.0,10.0,4.4,7.7,0.0,0.0,16.1,23.4,112,100
2017-10-18,Andre Drummond,DET,CHO,H,22.35,.405,.333,.000,.222,20.3,41.9,29.7,24.9,2.2,10.0,0.0,19.4,118,84
2017-10-18,Langston Galloway,DET,CHO,H,24.683333333333334,.699,.682,.545,.091,0.0,19.0,8.3,0.0,5.9,0.0,8.0,22.1,118,86
2017-10-18,Ish Smith,DET,CHO,H,20.833333333333332,.222,.222,.111,.000,0.0,5.6,2.5,38.0,2.3,0.0,25.0,25.3,56,95
2017-10-18,Jon Leuer,DET,CHO,H,19.35,.311,.333,.167,.167,0.0,18.2,7.9,0.0,0.0,5.8,13.4,16.9,52,95
2017-10-18,Henry Ellenson,DET,CHO,H,16.216666666666665,.623,.600,.400,.100,0.0,28.9,12.6,11.3,3.0,0.0,0.0,28.3,122,91
2017-10-18,Eric Moreland,DET,CHO,H,11.7,,,,,0.0,10.0,4.4,0.0,12.5,0.0,,0.0,0,72
2017-10-18,Team Totals,DET,CHO,H,240.0,.504,.474,.271,.125,17.0,92.7,50.0,58.5,14.2,7.0,7.3,100.0,103.6,91.4
2017-10-18,D'Angelo Russell,BRK,IND,R,30.466666666666665,.656,.636,.364,.091,3.6,6.9,5.3,30.2,1.4,0.0,8.0,30.6,131,126
2017-10-18,Rondae Hollis-Jefferson,BRK,IND,R,27.566666666666666,.931,.750,.000,2.000,0.0,15.1,7.7,8.8,1.5,0.0,11.7,11.6,176,123
