DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,USG%,PACE
2017-10-20,Spencer Dinwiddie,BRK,ORL,H,24.7,6,15,.400,2,5,.400,2,3,.667,3,2,5,5,2,0,1,1,16,+12,26.8,107.4
2017-10-20,Trevor Booker,BRK,ORL,H,21.666666666666668,6,11,.545,0,0,,5,8,.625,5,6,11,2,0,0,2,3,17,0,29.2,107.4
2017-10-20,Joe Harris,BRK,ORL,H,18.466666666666665,4,6,.667,2,4,.500,0,0,,1,2,3,1,0,0,0,1,10,+9,12.4,107.4
2017-10-20,Quincy Acy,BRK,ORL,H,16.733333333333334,1,1,1.000,1,1,1.000,0,0,,0,4,4,1,0,0,1,2,3,+4,4.6,107.4
2017-10-20,Jarrett Allen,BRK,ORL,H,14.6,3,3,1.000,0,0,,3,4,.750,0,2,2,0,1,1,0,3,9,+7,12.5,107.4
2017-10-20,Team Totals,BRK,ORL,H,240.0,46,92,.500,9,27,.333,25,35,.714,15,33,48,22,13,6,18,17,126,,100.0,107.4
2017-10-20,Dennis Schroder,ATL,CHO,R,31.65,11,21,.524,0,2,.000,3,3,1.000,1,2,3,5,1,0,3,2,25,-3,33.6,105.4
2017-10-20,Taurean Waller-Prince,ATL,CHO,R,29.05,6,13,.462,2,4,.500,1,1,1.000,0,6,6,2,1,0,2,4,15,-19,22.3,105.4
2017-10-20,Kent Bazemore,ATL,CHO,R,26.066666666666666,5,9,.556,1,2,.500,0,0,,0,1,1,2,3,0,1,2,11,-5,16.1,105.4
2017-10-20,Dewayne Dedmon,ATL,CHO,R,24.516666666666666,5,9,.556,1,1,1.000,0,0,,2,5,7,2,1,1,1,2,11,-10,17.2,105.4
2017-10-20,Ersan Ilyasova,ATL,CHO,R,21.25,0,4,.000,0,3,.000,0,0,,1,5,6,1,1,0,1,5,0,-5,9.9,105.4
2017-10-20,Malcolm Delaney,ATL,CHO,R,22.866666666666667,1,6,.167,0,2,.000,1,2,.500,0,2,2,4,1,1,0,1,3,-26,12.7,105.4
2017-10-20,Marco Belinelli,ATL,CHO,R,22.333333333333332,1,10,.100,1,3,.333,2,2,1.000,0,4,4,2,0,0,2,1,5,-5,24.2,105.4
2017-10-20,Mike Muscala,ATL,CHO,R,18.816666666666666,3,8,.375,1,4,.250,2,2,1.000,2,2,4,0,1,0,0,3,9,-2,19.8,105.4
2017-10-20,Luke Babbitt,ATL,CHO,R,16.066666666666666,2,7,.286,1,6,.167,2,2,1.000,0,1,1,0,1,0,1,2,7,-7,23.2,105.4
2017-10-20,John Collins,ATL,CHO,R,15.35,2,4,.500,0,0,,1,2,.500,0,2,2,0,1,2,2,6,5,-12,18.8,105.4
2017-10-20,Josh Magette,ATL,CHO,R,6.833333333333333,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0,6.2,105.4
2017-10-20,Nicolas Brussino,ATL,CHO,R,2.6,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+2,32.3,105.4
2017-10-20,Tyler Dorsey,ATL,CHO,R,2.6,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+2,16.2,105.4
2017-10-20,Team Totals,ATL,CHO,R,240.0,36,95,.379,7,30,.233,12,14,.857,6,32,38,19,11,4,13,29,91,,100.0,105.4
2017-10-20,Jeremy Lamb,CHO,ATL,H,38.28333333333333,7,17,.412,0,5,.000,1,1,1.000,2,3,5,2,0,1,2,4,15,+26,20.3,105.4
2017-10-20,Kemba Walker,CHO,ATL,H,38.016666666666666,6,13,.462,4,8,.500,10,12,.833,1,3,4,9,1,0,4,2,26,+35,23.4,105.4
2017-10-20,Dwight Howard,CHO,ATL,H,33.016666666666666,8,12,.667,0,0,,4,8,.500,4,11,15,0,0,1,6,5,20,+34,26.0,105.4
2017-10-20,Dwayne Bacon,CHO,ATL,H,19.25,2,4,.500,2,3,.667,0,0,,0,11,11,0,1,0,2,1,6,+13,12.4,105.4
2017-10-20,Marvin Williams,CHO,ATL,H,15.8,0,6,.000,0,4,.000,0,0,,1,2,3,1,1,1,1,0,0,+2,17.7,105.4
2017-10-20,Frank Kaminsky,CHO,ATL,H,33.083333333333336,7,14,.500,2,5,.400,5,5,1.000,0,6,6,3,1,0,2,1,21,+18,22.0,105.4
2017-10-20,Treveon Graham,CHO,ATL,H,24.15,3,6,.500,1,4,.250,2,2,1.000,1,1,2,0,0,0,0,1,9,+5,11.4,105.4
2017-10-20,Malik Monk,CHO,ATL,H,18.6,2,7,.286,2,5,.400,0,0,,0,3,3,0,0,0,3,3,6,-13,21.5,105.4
2017-10-20,Johnny O'Bryant,CHO,ATL,H,14.1,2,6,.333,0,1,.000,2,2,1.000,3,3,6,1,1,1,0,1,6,-18,19.5,105.4
2017-10-20,Julyan Stone,CHO,ATL,H,5.7,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,-12,14.0,105.4
2017-10-20,Team Totals,CHO,ATL,H,240.0,37,86,.430,11,36,.306,24,30,.800,12,45,57,17,5,4,21,18,109,,100.0,105.4
